,Number,Label,Brand,Title,price,Review_Number,href,date
0,1,Top Rated,,Hugger 52 in. LED Indoor Black Ceiling Fan with Light Kit,$59.97,10339,https://www.homedepot.com/p/Hugger-52-in-LED-Indoor-Black-Ceiling-Fan-with-Light-Kit-AL383LED-BK/301162049,2024-07-11
1,2,Exclusive,,Bellina 42 in. Oil-Rubbed Bronze Ceiling Fan with Light Kit,$59.97,567,https://www.homedepot.com/p/Bellina-42-in-Oil-Rubbed-Bronze-Ceiling-Fan-with-Light-Kit-RH5H1-ORB/308062301,2024-07-11
2,3,Exclusive,Hampton Bay,Mena 54 in. White Color Changing Integrated LED Indoor/Outdoor Matte Black Ceiling Fan with Light Kit and Remote Control,$159.00,614,https://www.homedepot.com/p/Hampton-Bay-Mena-54-in-White-Color-Changing-Integrated-LED-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Light-Kit-and-Remote-Control-99919/321244251,2024-07-11
3,4,Exclusive,Hunter,Oakhurst 52 in. LED Indoor Low Profile Brushed Nickel Ceiling Fan with Light Kit,$114.00,2512,https://www.homedepot.com/p/Hunter-Oakhurst-52-in-LED-Indoor-Low-Profile-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-52125/300593307,2024-07-11
4,5,Sponsored,JONATHAN Y,Kristie 52 in. 3-Light Chrome Crystal/Metal Modern Glam Drum LED Indoor Ceiling Fan With Remote,$148.91,5,https://www.homedepot.com/p/JONATHAN-Y-Kristie-52-in-3-Light-Chrome-Crystal-Metal-Modern-Glam-Drum-LED-Indoor-Ceiling-Fan-With-Remote-JYL9709A/318691909,2024-07-11
5,6,,Bell + Howell,"15.7 in. Indoor White Ceiling Fan with Remote, LED Light, Socket",$49.97,484,https://www.homedepot.com/p/Bell-Howell-15-7-in-Indoor-White-Ceiling-Fan-with-Remote-LED-Light-Socket-8563ENCBQH/324835719,2024-07-11
6,7,,,Littleton 42 in. LED Indoor White Ceiling Fan with Light Kit,$44.97,2025,https://www.homedepot.com/p/Littleton-42-in-LED-Indoor-White-Ceiling-Fan-with-Light-Kit-UB42S-WH-SH/301756341,2024-07-11
7,8,Sponsored,Honeywell,Lynton 52 in. Indoor/Outdoor Color Changing LED Matte Black Ceiling Fan with Remote Control & High-Performance Blades,$229.99,30,https://www.homedepot.com/p/Honeywell-Lynton-52-in-Indoor-Outdoor-Color-Changing-LED-Matte-Black-Ceiling-Fan-with-Remote-Control-High-Performance-Blades-51854-07/329464574,2024-07-11
8,9,Sponsored,MODERN HABITAT,WhisperBloom 52 in. Indoor Satin Brass Ceiling Fan with LED Light Bulbs and Remote Control,$149.00,36,https://www.homedepot.com/p/MODERN-HABITAT-WhisperBloom-52-in-Indoor-Satin-Brass-Ceiling-Fan-with-LED-Light-Bulbs-and-Remote-Control-CFL-1891-5252BA/328410409,2024-07-11
9,10,Best Seller,Home Decorators Collection,Merwry 52 in. Integrated LED Indoor Matte Black Ceiling Fan with Light Kit and Remote Control,$139.00,5690,https://www.homedepot.com/p/Home-Decorators-Collection-Merwry-52-in-Integrated-LED-Indoor-Matte-Black-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SW1422MBK/301231214,2024-07-11
10,11,,Hampton Bay,Glendale III 52 in. LED Indoor Brushed Nickel Ceiling Fan with Light and Pull Chains,$79.97,400,https://www.homedepot.com/p/Hampton-Bay-Glendale-III-52-in-LED-Indoor-Brushed-Nickel-Ceiling-Fan-with-Light-and-Pull-Chains-AK338-BN/320906014,2024-07-11
11,12,Sponsored,Sofucor,52 in. Changing Integrated LED Indoor/Outdoor Black Ceiling Fan with Light Kit and Remote Control,$182.64,3,https://www.homedepot.com/p/Sofucor-52-in-Changing-Integrated-LED-Indoor-Outdoor-Black-Ceiling-Fan-with-Light-Kit-and-Remote-Control-KYL52144BKHTM/323430627,2024-07-11
12,13,Best Seller,Home Decorators Collection,Kensgrove II 72 in. Smart Indoor/Outdoor Matte Black Ceiling Fan with Remote Included Powered by Hubspace,$299.00,244,https://www.homedepot.com/p/Home-Decorators-Collection-Kensgrove-II-72-in-Smart-Indoor-Outdoor-Matte-Black-Ceiling-Fan-with-Remote-Included-Powered-by-Hubspace-N608-MBK/322984459,2024-07-11
13,14,Exclusive,Home Decorators Collection,Ashby Park 52 in. White Color Changing Integrated LED Brushed Nickel Ceiling Fan with Light Kit and Remote Control,$149.00,3489,https://www.homedepot.com/p/Home-Decorators-Collection-Ashby-Park-52-in-White-Color-Changing-Integrated-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-59252/308039187,2024-07-11
14,15,Exclusive,Hampton Bay,Fanelee 54 in. White Color Changing LED Brushed Nickel Smart Ceiling Fan with Light Kit and Remote Powered by Hubspace,$189.00,629,https://www.homedepot.com/p/Hampton-Bay-Fanelee-54-in-White-Color-Changing-LED-Brushed-Nickel-Smart-Ceiling-Fan-with-Light-Kit-and-Remote-Powered-by-Hubspace-52133/314459956,2024-07-11
15,16,Sponsored,Hunter,Aeropress 52 in. Integrated LED Indoor Matte Black Ceiling Fan with Remote Included,$199.00,4,https://www.homedepot.com/p/Hunter-Aeropress-52-in-Integrated-LED-Indoor-Matte-Black-Ceiling-Fan-with-Remote-Included-51999/326944893,2024-07-11
16,17,Exclusive,Hampton Bay,52 in. Corwin Indoor/Outdoor Matte Black LED Ceiling Fan with Light Kit,$99.00,165,https://www.homedepot.com/p/Hampton-Bay-52-in-Corwin-Indoor-Outdoor-Matte-Black-LED-Ceiling-Fan-with-Light-Kit-56051/319830773,2024-07-11
