Number,Label,Brand,Title,price,Review_Number,href,Date,Rating,SKU,Model,OMSID,Date_of_first_review,Review_content,id
104,NULL,CARRO,"Essex 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home",$149.99,15,https://www.homedepot.com/p/CARRO-Essex-52-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-w-Alexa-Google-Home-HS525J-L12-BO-1/319979324,2024-07-18,4.4,1007512387,HS525J-L12-BO-1,319979324,"Mar 16, 2022","I highly recommend the CARRO Essex 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling fan and the different options. I have some experiencing installing lights so this one was pretty easy to install. This fan comes with a remote that has a variety of options as far as fan speed and lighting goes. The lighting goes from warm to cool. The look of this fan is modern and upscale.",62a393b4-0007-4fe7-937a-f6e8870f3dc7
203,NULL,CARRO,"Voyager 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$189.00,29,https://www.homedepot.com/p/CARRO-Voyager-52-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS525B-L22-B2-1-FM/320292970,2024-07-18,4.1,1007691890,HS525B-L22-B2-1-FM,320292970,"May 14, 2022","I am adding on to my house and needed an extra ceiling fan. I thought this Carro Voyager smart ceiling fan would be a good fit. The Voyager is the standard 5-blade ceiling fan with a 52” diameter, but possesses an unconventional 10-speeds. Most ceiling fans have three speeds, plus reversible. It can be used indoor or outdoor and comes with a wall mountable remote and LED light kit. I like that the light kit allows you to select your desired color (kelvin) of light. While I currently don’t use Alexa/Google or Siri, I very much may after I install this ceiling fan in a few months. Installation seems straightforward and the fan components seem well made too.",99b81202-f2e2-46d7-bc60-0286b0bfe216
217,NULL,CARRO,"Essex 52 in. Integrated LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home",$149.99,29,https://www.homedepot.com/p/CARRO-Essex-52-in-Integrated-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-w-Alexa-Google-Home-S525J-L12-B5-1/318630516,2024-07-18,3.5,1006880642,S525J-L12-B5-1,318630516,"Dec 25, 2021","The Carro Essex 52 in. Integrated LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home. The easy to install instruction made installing the fan a “Breeze”! Each piece was individually boxed. The fan is simple but elegant. The remote was had easy instructions. The wifi/Bluetooth feature works well as well. The only negative I had for the unit was the screws for the fan blades were hard to start and was afraid they might strip. Taking the time to start the screws proved to be the best way to get them started.",94f44122-5c84-4847-ae2d-1fbbda9d6a64
251,Sponsored,CARRO,"Aspen 60 in. Dimmable LED Indoor/Outdoor White Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$205.90,17,https://www.homedepot.com/p/CARRO-Aspen-60-in-Dimmable-LED-Indoor-Outdoor-White-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS605J1-L11-W1-1/322460046,2024-07-18,3.8,1008466591,HS605J1-L11-W1-1,322460046,"Sep 17, 2022","I really like this ceiling fan, both for how it looks and operates, and also for the ease of installation. This fan installs differently than all the other ceiling fans I have installed. It is assembled PRIOR to hanging it from the ceiling, so you don't have to balance on a high ladder while attaching blades, etc. You just have to climb the ladder to screw in the hanger and then you insert the downrod, connect the wiring, raise the canopy and you're done! The blade design is a modern rectangular shape that fits flush with the motor body, no old-fashioned spindly arms extending from the motor to the fan blades. The first picture shows the blades attached to the pieces that later attach to the motor. Each blade is attached with three screws with washers that are included in the kit. The side of the blade you are viewing in that picture shows the top side of the blades, which is a weathered wood finish. I wanted the black finished side to show when the fan is mounted, and it is underneath. The second picture shows how the blades are attached to the motor. The cardboard packing that came with the fan makes an excellent base to hold the motor securely and you can see it in the second picture. Here, the motor is upside down, and you see what will be the exposed side of the blades. This position is also used to install the light unit, which went on next. THe camera made the blade surface look brown, but it is a black, woodgrain finish. Then, I turned the assembly right side up and still on top of that cardboard packing, installed the downrod and canopy. The fan came with a 6" downrod - if you need something longer, extensions are available, but be sure you get one that is specified for a DC - powered fan! Finally, I had to climb a ladder to attach the ceiling hanger, which was easy, and then I climbed the ladder again, holding the assembled fan in one hand to insert the downrod into the hanger. The fan is fairly light, and I'm 81 years old, and I had no trouble doing this task. The only fiddly bit was inserting the transformer into the hanger, because the clearances are small. You then connect three wires with the included wire nuts, plug the transformer into the fan motor, raise the canopy and you're done! The last picture shows the fan in operation. The fan paired with the remote immediately. The light can be adjusted to different brightness levels and color intensities, from daylight to soft light, all from the remote. Likewise, the remote turns the fan on and off, changes its speed and reverses it when the seasons change. There's even a "random varying speed" feature, that is supposed to resemble a soft breeze. The fan is dead quiet and there is NO wobble, at any speed.",a91ad94e-790c-4565-8e4f-ff167951c84e
254,NULL,CARRO,"Hutton 52 in. LED Indoor Black Ceiling Fan with Light Kit and Pull Chain",$98.98,6,https://www.homedepot.com/p/CARRO-Hutton-52-in-LED-Indoor-Black-Ceiling-Fan-with-Light-Kit-and-Pull-Chain-NWGA-524H2-L11-B2-G/320058150,2024-07-18,4.4,1007634735,NWGA-524H2-L11-B2-G,320058150,"Jun 23, 2022","The CARRO Hutton 52 inch indoor ceiling fan is brushed nickel and comes with a light kit. It has pull chains switches for the fan and light. The fan blades are silver and match very well with the brushed nickel fan blade brackets. The mounting bracket is heavy duty and needs to be attached to the proper fan electrical box. All mounting hardware is included with the fan. I plan to install this in a couple of weeks.",8fc8cd77-0ce5-4569-bd10-bc252d28197d
273,NULL,CARRO,"Levi 48 in. Dimmable LED Indoor/Outdoor White Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$209.00,41,https://www.homedepot.com/p/CARRO-Levi-48-in-Dimmable-LED-Indoor-Outdoor-White-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS485Q5-L12-W1-1-FMA/322670752,2024-07-18,4.5,1008523268,HS485Q5-L12-W1-1-FMA,322670752,"Oct 12, 2022","CARRO Levi 48 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home is simply an amazing little fan that pushes the air in a small room. Safety first as always. Make sure power is off before installing the fan. Relatively easy to install. The installation would be for a mor experienced DIYer. With the fan WiFI, Siri, Alexa, capable, you can turn the fan and light on or off from any room.",f0688d9c-b3b9-4afa-be7a-180fb3ace387
274,NULL,CARRO,"Essex 60 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$209.99,5,https://www.homedepot.com/p/CARRO-Essex-60-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS605J-L12-B5-1/322766786,2024-07-18,4,1008621470,HS605J-L12-B5-1,322766786,"Oct 20, 2022","Looking to improve airflow in our cathedral-ceiling screened porch, we opted for this Carro 60” fan with LED light and remote. It’s a significant improvement in so many ways! It’s putting out significantly BETTER BREEZE (60” vs. original 52” span), MORE EFFICIENT (variable LED vs. original incandescent lights; DC motor with multi-speeds vs. original 3-speed AC motor). Comparing a DC to AC motor ceiling fan: DC uses up to 70% less energy than a standard AC fan and are EXTREMELY QUIET. The quality is good, wood blades balanced on first go. The remote is much handier than our old pullchain/switch operation; the LEDs have variable color to match our recessed lighting; and there’s even an app for “smart” use. VERY SATISFIED with all these improvements! The installation guide is available on the HD website. We had to purchase a 3-ft Carro-brand downrod from Home Depot for our application (it’s a different diameter from a standard downrod). We found it at CARRO 36 in. Black Extension downrod for DC Ceiling Fan DR36B (homedepot.com). We figured it out, but it came with no instructions- we had to remove the ball from the included 6-in rod and shorten the mounting pin. The 3-ft downrod came with an extended wiring harness and a longer safety cable but a different design than the included shorter cable ends. FYI, using the 3-ft downrod places the bottom of the blades at 3’8” and the bottom of the light at 3’10”. Contrary to the assembly instructions, we opted to do the installation without the blades and light kit attached (we were working on a 12-ft stepladder and it would have been unwieldy).",ffbad61d-c8e1-4c6a-8d60-667e187bc375
281,NULL,CARRO,"Tilbury 44 in. Integrated LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$179.99,25,https://www.homedepot.com/p/CARRO-Tilbury-44-in-Integrated-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS443J3-L11-BS-1-FM/321661649,2024-07-18,4,1008193859,HS443J3-L11-BS-1-FM,321661649,"Jul 21, 2022","My middle bedroom had a small ceiling fan that did not push a lot of air around. I got this fan from Home Depot and will replace it and since I already have one of these it will push air around a lot better than the small one. The instructions are simple to follow for installation and I really like how the do the lights now using a plug in instead of twisting wires together like the old days. The remote is a plus and I can control all the functions right from the remote.",66166493-a696-4a4d-b2f5-31ddfed44081
151,NULL,CARRO,"Essex 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home",$149.99,15,https://www.homedepot.com/p/CARRO-Essex-52-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-w-Alexa-Google-Home-HS525J-L12-BO-1/319979324,2024-07-19,4.4,1007512387,HS525J-L12-BO-1,319979324,"Mar 16, 2022","I highly recommend the CARRO Essex 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling fan and the different options. I have some experiencing installing lights so this one was pretty easy to install. This fan comes with a remote that has a variety of options as far as fan speed and lighting goes. The lighting goes from warm to cool. The look of this fan is modern and upscale.",d34ab4b5-18a0-4b98-abed-567ff29b7ffc
186,NULL,CARRO,"Voyager 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$189.00,29,https://www.homedepot.com/p/CARRO-Voyager-52-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS525B-L22-B2-1-FM/320292970,2024-07-19,4.1,1007691890,HS525B-L22-B2-1-FM,320292970,"May 14, 2022","I am adding on to my house and needed an extra ceiling fan. I thought this Carro Voyager smart ceiling fan would be a good fit. The Voyager is the standard 5-blade ceiling fan with a 52” diameter, but possesses an unconventional 10-speeds. Most ceiling fans have three speeds, plus reversible. It can be used indoor or outdoor and comes with a wall mountable remote and LED light kit. I like that the light kit allows you to select your desired color (kelvin) of light. While I currently don’t use Alexa/Google or Siri, I very much may after I install this ceiling fan in a few months. Installation seems straightforward and the fan components seem well made too.",a63f0d7b-8a99-427f-b9bb-4002e5d3a5a4
